slug,live_form_id,headless_form_id,source_url,single_line_address,map_search_url
"texas-irving",31,31,"https://amerilife.com/texas/","1333 Corporate Dr, Suite 310, Irving, TX 75038","https://www.google.com/maps/search/?api=1&query=1333%20Corporate%20Dr%2C%20Suite%20310%2C%20Irving%2C%20TX%2075038"
"texas-hurst",31,31,"https://amerilife.com/texas/","235 NE Loop 820, Suite 100, Hurst, TX 76053","https://www.google.com/maps/search/?api=1&query=235%20NE%20Loop%20820%2C%20Suite%20100%2C%20Hurst%2C%20TX%2076053"
"texas-mckinney",31,31,"https://amerilife.com/texas/","5900 South Lake Forest #260, McKinney, TX 75070","https://www.google.com/maps/search/?api=1&query=5900%20South%20Lake%20Forest%20%23260%2C%20McKinney%2C%20TX%2075070"
"texas-mansfield",31,31,"https://amerilife.com/texas/","1900 Matlock Road, Suite 800A, Mansfield, TX 76063","https://www.google.com/maps/search/?api=1&query=1900%20Matlock%20Road%2C%20Suite%20800A%2C%20Mansfield%2C%20TX%2076063"
"texas-highland-village",31,31,"https://amerilife.com/texas/","2840 Village Parkway, Suite 120, Highland Village, TX 75077","https://www.google.com/maps/search/?api=1&query=2840%20Village%20Parkway%2C%20Suite%20120%2C%20Highland%20Village%2C%20TX%2075077"
"texas-heath",31,31,"https://amerilife.com/texas/","55 Noble Court, Suite 100, Heath, TX 75032","https://www.google.com/maps/search/?api=1&query=55%20Noble%20Court%2C%20Suite%20100%2C%20Heath%2C%20TX%2075032"
"virginia",31,31,"https://amerilife.com/virginia/","3090 Electric Rd., Roanoke, VA 24018","https://www.google.com/maps/search/?api=1&query=3090%20Electric%20Rd.%2C%20Roanoke%2C%20VA%2024018"
"wilmington",31,31,"https://amerilife.com/wilmington/","1410 Commonwealth Drive, Suite 103-B, Wilmington, NC 28403","https://www.google.com/maps/search/?api=1&query=1410%20Commonwealth%20Drive%2C%20Suite%20103-B%2C%20Wilmington%2C%20NC%2028403"
"tampabay",31,31,"https://amerilife.com/tampabay/","330 Pauls Dr., Suite #110, Brandon, FL 33511","https://www.google.com/maps/search/?api=1&query=330%20Pauls%20Dr.%2C%20Suite%20%23110%2C%20Brandon%2C%20FL%2033511"
"eastpasco",31,31,"https://amerilife.com/eastpasco/","35364 State Road 54, Zephyrhills, FL 33541","https://www.google.com/maps/search/?api=1&query=35364%20State%20Road%2054%2C%20Zephyrhills%2C%20FL%2033541"
